run,dl,ul,ping,record time
216,262.069,227.642,11.626,2023-09-26 14:15:28
217,242.902,241.232,11.626,2023-09-26 14:16:28
218,248.352,232.934,11.626,2023-09-26 14:17:29
219,240.192,245.372,11.626,2023-09-26 14:18:29
220,211.397,26.463,11.626,2023-09-26 14:19:58
221,638.949,263.44,11.626,2023-09-26 14:20:53
222,609.936,264.376,11.626,2023-09-26 14:21:49
223,246.564,241.41,11.626,2023-09-26 14:22:49
224,258.768,245.644,11.626,2023-09-26 14:23:49
225,256.324,239.563,11.626,2023-09-26 14:24:50
226,259.633,245.478,11.626,2023-09-26 14:25:50
227,268.406,243.879,11.626,2023-09-26 14:26:50
228,252.355,241.559,11.626,2023-09-26 14:27:51
229,261.237,240.498,11.626,2023-09-26 14:28:51
230,265.483,242.183,11.626,2023-09-26 14:29:52
231,251.46,227.294,11.626,2023-09-26 14:30:52
232,263.417,246.7,11.626,2023-09-26 14:31:53
233,208.811,245.142,11.626,2023-09-26 14:32:53
234,263.721,242.113,11.626,2023-09-26 14:33:53
235,265.997,239.562,11.626,2023-09-26 14:34:54
236,237.776,250.112,11.626,2023-09-26 14:35:54
237,243.272,241.573,11.626,2023-09-26 14:36:54
238,228.85,242.017,11.626,2023-09-26 14:37:55
239,267.769,245.815,11.626,2023-09-26 14:38:55
240,243.502,248.267,11.626,2023-09-26 14:39:55
241,265.29,247.582,11.626,2023-09-26 14:40:56
242,273.039,251.397,11.626,2023-09-26 14:41:56
243,242.165,242.366,11.626,2023-09-26 14:42:56
244,228.272,243.332,11.626,2023-09-26 14:43:57
245,255.268,240.534,11.626,2023-09-26 14:44:57
246,259.099,245.135,11.626,2023-09-26 14:45:57
247,247.623,241.781,11.626,2023-09-26 14:46:58
248,251.614,237.667,11.626,2023-09-26 14:47:58
249,268.566,246.706,11.626,2023-09-26 14:48:59
250,252.308,242.039,11.626,2023-09-26 14:49:59
251,273.714,242.302,11.626,2023-09-26 14:50:59
252,267.34,246.968,11.626,2023-09-26 14:52:00
253,270.219,245.697,11.626,2023-09-26 14:53:00
254,256.752,236.837,11.626,2023-09-26 14:54:01
255,235.038,222.102,11.626,2023-09-26 14:55:02
256,246.717,248.589,11.626,2023-09-26 14:56:02
257,264.269,239.734,11.626,2023-09-26 14:57:02
258,204.142,235.505,11.626,2023-09-26 14:58:03
259,240.14,247.587,11.626,2023-09-26 14:59:03
260,250.56,238.351,11.626,2023-09-26 15:00:04
261,236.944,239.41,11.626,2023-09-26 15:01:04
262,192.922,231.368,11.626,2023-09-26 15:02:05
263,243.79,212.373,11.626,2023-09-26 15:03:06
264,239.629,217.17,11.626,2023-09-26 15:04:07
265,258.949,237.599,11.626,2023-09-26 15:05:08
266,252.112,201.258,11.626,2023-09-26 15:06:09
267,252.592,242.469,11.626,2023-09-26 15:07:10
268,294.211,249.699,11.626,2023-09-26 15:08:10
269,269.237,243.492,11.626,2023-09-26 15:09:10
270,297.538,241.843,11.626,2023-09-26 15:10:11
271,289.354,240.1,11.626,2023-09-26 15:11:11
272,236.932,248.819,11.626,2023-09-26 15:12:11
273,277.049,245.051,11.626,2023-09-26 15:13:12
274,272.732,245.043,11.626,2023-09-26 15:14:12
275,154.534,144.825,11.626,2023-09-26 15:15:16
276,266.78,241.759,11.626,2023-09-26 15:16:16
277,201.655,235.403,11.626,2023-09-26 15:17:17
278,195.041,154.295,11.626,2023-09-26 15:18:20
279,272.298,236.118,11.626,2023-09-26 15:19:20
280,251.165,239.44,11.626,2023-09-26 15:20:21
281,259.536,235.39,11.626,2023-09-26 15:21:21
282,264.365,238.845,11.626,2023-09-26 15:22:22
283,272.947,243.752,11.626,2023-09-26 15:23:22
284,266.951,238.278,11.626,2023-09-26 15:24:23
285,253.787,234.12,11.626,2023-09-26 15:25:23
286,400.983,262.063,11.626,2023-09-26 15:26:21
287,258.783,250.687,11.626,2023-09-26 15:27:21
288,391.859,259.471,11.626,2023-09-26 15:28:20
289,669.438,227.071,11.626,2023-09-26 15:29:16
290,239.305,245.011,11.626,2023-09-26 15:30:16
291,190.537,241.322,11.626,2023-09-26 15:31:16
292,260.268,244.284,11.626,2023-09-26 15:32:17
293,263.353,245.668,11.626,2023-09-26 15:33:17
294,250.775,220.851,11.626,2023-09-26 15:34:18
295,250.729,244.992,11.626,2023-09-26 15:35:18
296,243.207,240.598,11.626,2023-09-26 15:36:19
297,240.212,239.095,11.626,2023-09-26 15:37:19
298,257.211,245.207,11.626,2023-09-26 15:38:19
299,258.118,245.177,11.626,2023-09-26 15:39:20
300,235.178,245.752,11.626,2023-09-26 15:40:20
301,251.885,206.824,11.626,2023-09-26 15:41:22
302,250.908,238.787,11.626,2023-09-26 15:42:22
303,249.431,236.805,11.626,2023-09-26 15:43:23
304,249.16,240.237,11.626,2023-09-26 15:44:23
305,255.392,241.404,11.626,2023-09-26 15:45:23
306,235.52,237.693,11.626,2023-09-26 15:46:24
307,288.779,240.913,11.626,2023-09-26 15:47:24
308,239.716,237.331,11.626,2023-09-26 15:48:25
309,250.335,243.91,11.626,2023-09-26 15:49:25
310,253.18,246.058,11.626,2023-09-26 15:50:26
311,240.69,234.75,11.626,2023-09-26 15:51:26
312,286.728,246.33,11.626,2023-09-26 15:52:26
313,270.484,246.065,11.626,2023-09-26 15:53:27
314,256.35,238.202,11.626,2023-09-26 15:54:27
315,184.153,180.61,11.626,2023-09-26 15:55:29
316,182.96,30.478,11.626,2023-09-26 15:56:55
317,609.179,264.55,11.626,2023-09-26 15:57:51
318,656.669,266.159,11.626,2023-09-26 15:58:46
319,629.403,264.022,11.626,2023-09-26 15:59:41
320,596.36,264.645,11.626,2023-09-26 16:00:36
321,612.459,202.69,11.626,2023-09-26 16:01:33
322,667.404,266.301,11.626,2023-09-26 16:02:28
323,640.147,263.144,11.626,2023-09-26 16:03:23
324,641.282,266.171,11.626,2023-09-26 16:04:18
325,631.103,265.387,11.626,2023-09-26 16:05:13
326,558.362,262.176,11.626,2023-09-26 16:06:09
327,668.292,265.859,11.626,2023-09-26 16:07:04
328,654.141,259.967,11.626,2023-09-26 16:07:59
329,665.23,265.447,11.626,2023-09-26 16:08:54
330,600.139,266.831,11.626,2023-09-26 16:09:49
331,661.954,264.329,11.626,2023-09-26 16:10:44
332,619.133,267.086,11.626,2023-09-26 16:11:40
333,685.829,264.353,11.626,2023-09-26 16:12:34
334,649.201,265.521,11.626,2023-09-26 16:13:29
335,640.437,265.953,11.626,2023-09-26 16:14:24
336,747.159,266.024,11.626,2023-09-26 16:15:19
337,653.542,262.292,11.626,2023-09-26 16:16:14
338,715.007,265.518,11.626,2023-09-26 16:17:08
339,619.169,265.796,11.626,2023-09-26 16:18:03
340,683.36,261.74,11.626,2023-09-26 16:18:58
341,617.531,264.502,11.626,2023-09-26 16:19:53
342,614.627,266.592,11.626,2023-09-26 16:20:49
343,228.368,191.255,11.626,2023-09-26 16:21:50
344,245.073,241.354,11.626,2023-09-26 16:22:51
345,260.492,238.984,11.626,2023-09-26 16:23:51
346,247.203,245.228,11.626,2023-09-26 16:24:52
347,264.464,242.365,11.626,2023-09-26 16:25:52
348,274.368,69.953,11.626,2023-09-26 16:27:20
349,557.159,264.449,11.626,2023-09-26 16:28:16
350,583.876,205.199,11.626,2023-09-26 16:29:13
351,254.024,244.57,11.626,2023-09-26 16:30:14
352,263.175,246.751,11.626,2023-09-26 16:31:14
353,260.929,244.323,11.626,2023-09-26 16:32:14
354,250.729,239.167,11.626,2023-09-26 16:33:15
355,274.59,240.765,11.626,2023-09-26 16:34:15
356,288.797,246.787,11.626,2023-09-26 16:35:15
357,264.886,245.018,11.626,2023-09-26 16:36:16
358,277.891,246.303,11.626,2023-09-26 16:37:16
359,266.077,243.332,11.626,2023-09-26 16:38:16
360,238.066,222.699,11.626,2023-09-26 16:39:17
361,191.415,209.514,11.626,2023-09-26 16:40:18
