Run Count Download - Upload - PING Record Time
174 234.018 Mbps - 233.946 Mbps - 11.626 2023-09-26 13:32:30.060131
175 239.397 Mbps - 251.946 Mbps - 11.626 2023-09-26 13:33:30.227138
176 245.983 Mbps - 253.001 Mbps - 11.626 2023-09-26 13:34:30.409444
177 240.483 Mbps - 246.472 Mbps - 11.626 2023-09-26 13:35:30.696808
178 238.279 Mbps - 247.915 Mbps - 11.626 2023-09-26 13:36:30.938489
179 231.187 Mbps - 244.826 Mbps - 11.626 2023-09-26 13:37:31.259311
180 237.163 Mbps - 242.809 Mbps - 11.626 2023-09-26 13:38:31.625688
181 222.322 Mbps - 243.89 Mbps - 11.626 2023-09-26 13:39:32.108528
182 241.478 Mbps - 239.947 Mbps - 11.626 2023-09-26 13:40:32.715747
183 260.456 Mbps - 168.011 Mbps - 11.626 2023-09-26 13:41:35.623958
184 237.671 Mbps - 241.027 Mbps - 11.626 2023-09-26 13:42:36.004490
185 270.656 Mbps - 241.642 Mbps - 11.626 2023-09-26 13:43:36.381984
186 11.339 Mbps - 0.0 bps - 11.626 2023-09-26 13:44:50.004662
187 598.913 Mbps - 266.72 Mbps - 11.626 2023-09-26 13:45:45.369455
188 632.113 Mbps - 266.774 Mbps - 11.626 2023-09-26 13:46:40.417153
189 256.927 Mbps - 245.799 Mbps - 11.626 2023-09-26 13:47:40.712190
190 263.135 Mbps - 247.017 Mbps - 11.626 2023-09-26 13:48:41.010838
191 243.596 Mbps - 236.776 Mbps - 11.626 2023-09-26 13:49:41.476012
192 237.328 Mbps - 181.527 Mbps - 11.626 2023-09-26 13:50:43.520330
193 255.213 Mbps - 248.419 Mbps - 11.626 2023-09-26 13:51:43.739504
194 247.83 Mbps - 244.25 Mbps - 11.626 2023-09-26 13:52:44.040504
195 235.718 Mbps - 239.612 Mbps - 11.626 2023-09-26 13:53:44.461846
196 234.836 Mbps - 217.512 Mbps - 11.626 2023-09-26 13:54:45.484285
197 236.689 Mbps - 241.387 Mbps - 11.626 2023-09-26 13:55:45.867914
198 230.386 Mbps - 234.588 Mbps - 11.626 2023-09-26 13:56:46.544723
199 247.307 Mbps - 224.486 Mbps - 11.626 2023-09-26 13:57:47.635665
200 255.821 Mbps - 178.055 Mbps - 11.626 2023-09-26 13:58:50.047865
201 250.189 Mbps - 244.188 Mbps - 11.626 2023-09-26 13:59:50.530284
202 229.923 Mbps - 238.68 Mbps - 11.626 2023-09-26 14:00:51.031470
203 281.579 Mbps - 240.959 Mbps - 11.626 2023-09-26 14:01:51.426004
204 222.063 Mbps - 222.339 Mbps - 11.626 2023-09-26 14:02:52.278986
